transaction_id,timestamp,amount,sender_account_id,receiver_account_id,merchant_category,channel,is_fraud,fraud_role,variant_id,persona_id,persona_name,fraud_type,realism_score,distinctiveness_score
txn_V-0555A5_001,2025-03-10T09:15:00Z,46800.0,ACC-SRC,ACC-M1,wire_transfer,RTP_FedNow,True,placement,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_002,2025-03-10T11:42:00Z,34.87,ACC-COVER-A,ACC-COVER-MERCHANT1,grocery,card,False,cover_activity,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_003,2025-03-10T22:48:00Z,4750.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_004,2025-03-11T10:48:00.033936+00:00,4620.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_005,2025-03-11T23:10:10.559551+00:00,4480.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_006,2025-03-12T11:30:33.332828+00:00,4390.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_007,2025-03-12T23:42:15.757292+00:00,4310.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_008,2025-03-13T12:25:04.423857+00:00,3980.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_009,2025-03-14T00:30:35.168409+00:00,3850.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_010,2025-03-14T12:52:24.412760+00:00,3720.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_011,2025-03-15T01:45:31.657849+00:00,3640.0,ACC-M1,ACC-M2,peer_to_peer,RTP_FedNow,True,hop_1_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_012,2025-03-11T08:30:00Z,18.99,ACC-COVER-B,ACC-COVER-MERCHANT2,subscription_services,card,False,cover_activity,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_013,2025-03-15T14:28:25.901953+00:00,4820.0,ACC-M2,ACC-M3,peer_to_peer,RTP_FedNow,True,hop_2_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_014,2025-03-16T03:39:17.048644+00:00,4690.0,ACC-M2,ACC-M3,peer_to_peer,RTP_FedNow,True,hop_2_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_015,2025-03-16T16:30:26.418754+00:00,4560.0,ACC-M2,ACC-M3,peer_to_peer,RTP_FedNow,True,hop_2_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_016,2025-03-17T05:32:02.857898+00:00,4430.0,ACC-M2,ACC-M3,peer_to_peer,RTP_FedNow,True,hop_2_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_017,2025-03-17T17:32:06.730115+00:00,4270.0,ACC-M2,ACC-M3,peer_to_peer,RTP_FedNow,True,hop_2_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
txn_V-0555A5_018,2025-03-18T05:43:56.555289+00:00,4110.0,ACC-M2,ACC-M3,peer_to_peer,RTP_FedNow,True,hop_2_of_4,V-0555A5,P-01,Darren,business_email_compromise_layering_chain,8.7,8.9
